exp,event,branch,pipeline
4.93,1,first,js
0.79,1,first,js
1.54,1,first,js
4.21,1,first,js
3.58,1,first,js
4.86,1,first,js
3.61,1,first,js
3.55,1,first,js
4.60,1,first,ref
3.42,1,first,js
3.32,1,first,js
3.42,1,first,js
3.42,1,first,js
3.02,1,first,js
2.89,1,first,js
3.58,1,first,js
3.02,1,first,js
4.90,1,first,js
2.63,1,first,js
2.66,1,first,js
12.39,0,first,js
0.66,1,first,js
0.56,1,first,js
0.79,1,first,js
2.63,1,first,js
2.00,1,first,js
1.18,1,first,ea
2.07,1,first,ea
3.25,1,first,ea
11.04,1,first,ea
11.70,0,first,ea
1.35,1,first,js
11.27,1,first,js
1.18,1,first,js
11.60,0,first,js
11.50,0,first,js
11.50,0,first,js
11.50,0,first,js
1.38,1,first,js
11.47,0,first,ea
4.34,1,first,js
4.34,1,first,ref
0.36,1,first,js
0.69,1,first,js
10.02,1,first,ea
1.35,1,first,js
1.38,1,first,js
4.67,1,first,ref
11.20,0,first,js
1.28,1,first,js
0.56,1,first,js
11.01,0,first,js
0.23,1,first,js
0.76,1,first,js
1.48,1,first,js
3.32,1,first,js
10.97,0,first,js
3.48,1,first,js
0.99,1,first,ref
1.51,1,first,js
6.97,1,first,js
10.68,0,first,js
10.68,0,first,ref
0.59,1,first,js
0.30,1,first,js
0.49,1,first,js
2.69,1,first,js
10.35,0,first,js
1.15,1,first,js
2.69,1,first,js
3.94,1,first,js
6.90,1,first,ref
10.25,0,first,js
10.05,0,first,ref
0.23,1,first,js
0.23,1,first,js
0.26,1,first,js
0.49,1,first,js
0.66,1,first,js
3.02,1,first,js
4.53,1,first,js
4.53,1,first,js
7.62,1,first,js
10.02,0,first,js
5.91,1,first,js
6.21,1,first,js
9.82,0,first,js
9.82,0,first,js
0.56,1,first,js
1.91,1,first,js
2.96,1,first,js
4.99,1,first,cs
6.64,1,first,js
6.80,1,first,js
0.33,1,first,js
0.59,1,first,js
1.05,1,first,js
2.50,1,first,js
3.48,1,first,ref
6.14,1,first,js
0.66,1,first,ref
2.43,1,first,js
7.03,1,first,js
9.56,0,first,js
0.36,1,first,ref
0.92,1,first,js
1.12,1,first,js
2.69,1,first,js
3.15,1,first,js
1.05,1,first,ref
1.71,1,first,js
3.71,1,first,ref
3.81,1,first,js
4.37,1,first,js
7.23,1,first,js
0.36,1,first,js
4.96,1,first,js
9.20,0,first,js
0.56,1,first,js
1.38,1,first,js
3.68,1,first,ref
8.87,1,first,js
9.10,0,first,ref
9.10,0,first,js
9.10,0,first,cs
0.59,1,first,js
2.00,1,first,js
2.07,1,first,js
2.07,1,first,ref
7.39,1,first,js
8.02,1,first,js
3.09,1,first,js
1.22,1,first,js
1.48,1,first,js
2.66,1,first,js
2.79,1,first,js
5.29,1,first,js
0.36,1,first,js
0.95,1,first,ref
4.83,1,first,js
1.97,1,first,ref
3.61,1,first,js
8.67,0,first,js
1.15,1,first,ea
0.92,1,first,js
8.61,0,first,js
1.28,1,first,js
6.34,1,first,ref
8.51,0,first,js
8.51,0,first,ref
1.87,1,first,js
0.49,1,first,js
8.28,0,first,sm
8.28,0,first,js
8.28,0,first,ref
5.55,1,first,ref
2.27,1,first,js
8.21,0,first,js
6.28,1,first,ref
8.18,0,first,js
1.81,1,first,js
1.71,1,first,js
3.02,1,first,js
0.92,1,first,ref
3.68,1,first,js
6.37,1,first,js
0.46,1,first,js
1.87,1,first,ref
7.79,0,first,ref
7.79,0,first,js
1.22,1,first,js
2.10,1,first,js
2.30,1,first,js
2.73,1,first,js
0.66,1,first,js
1.54,1,first,js
2.92,1,first,ref
2.92,1,first,js
4.37,1,first,js
5.59,1,first,js
7.56,0,first,ref
7.52,0,first,js
7.52,0,first,js
0.62,1,first,js
1.45,1,first,js
1.64,1,first,js
1.68,1,first,js
4.44,1,first,js
6.47,1,first,js
7.46,0,first,js
1.28,1,first,sm
0.26,1,first,js
1.15,1,first,js
2.14,1,first,js
7.23,0,first,js
7.23,0,first,js
0.59,1,first,js
1.74,1,first,js
3.55,1,first,js
4.11,1,first,js
4.83,1,first,js
6.11,1,first,js
6.57,1,first,js
0.76,1,first,js
7.06,0,first,ref
7.03,0,first,ref
1.97,1,first,js
6.80,0,first,js
0.39,1,first,js
0.49,1,first,js
0.66,1,first,js
0.33,1,first,js
6.64,0,first,js
6.64,0,first,js
6.64,0,first,js
6.64,0,first,ref
6.64,0,first,js
0.46,1,first,ref
0.49,1,first,js
0.79,1,first,js
0.89,1,first,js
1.61,1,first,js
1.61,1,first,js
1.61,1,first,js
1.81,1,first,js
2.30,1,first,js
2.30,1,first,js
2.37,1,first,js
2.86,1,first,js
3.68,1,first,ref
4.44,1,first,ref
5.26,1,first,js
5.78,1,first,js
6.01,1,first,js
1.94,1,first,js
3.06,1,first,js
3.06,1,first,ref
6.57,0,first,ref
4.27,1,first,js
6.44,0,first,ref
5.65,1,first,ref
1.68,1,first,js
6.21,0,first,js
6.21,0,first,ref
6.21,0,first,ref
0.56,1,first,js
1.54,1,first,ref
4.04,1,first,ref
4.63,1,first,js
6.01,1,first,ea
2.83,1,first,js
6.14,0,first,js
6.11,0,first,ref
6.11,0,first,js
0.82,1,first,ref
0.92,1,first,js
3.19,1,first,ref
3.42,1,first,js
5.98,0,first,ref
2.76,1,first,js
4.07,1,first,js
2.83,1,first,js
5.68,0,first,ref
5.68,0,first,js
5.68,0,first,js
5.68,0,first,ea
5.68,0,first,js
5.68,0,first,cs
0.26,1,first,js
0.43,1,first,js
0.69,1,first,js
1.68,1,first,ref
2.10,1,first,js
2.14,1,first,js
2.60,1,first,ref
2.66,1,first,js
4.14,1,first,ref
5.65,0,first,js
5.65,0,first,js
5.65,0,first,ref
5.65,0,first,ea
1.97,1,first,js
2.43,1,first,js
4.63,1,first,js
4.37,1,first,js
5.39,0,first,js
5.39,0,first,ref
5.39,0,first,js
1.31,1,first,ref
1.38,1,first,ref
0.26,1,first,js
1.48,1,first,js
2.33,1,first,js
3.91,1,first,js
4.47,1,first,js
5.22,0,first,js
5.22,0,first,js
0.26,1,first,js
0.26,1,first,js
0.92,1,first,js
1.58,1,first,js
0.26,1,first,js
1.28,1,first,js
5.06,0,first,js
